@relation short

@attribute Uacc 	numeric
@attribute Ugyro 	numeric
@attribute class 	{D, G, H, W}

@data
1.15, 0.92, G
1.17, 1.04, G
1.45, 0.90, G
1.05, 0.30, G
0.67, 0.09, G
0.66, 0.07, G
1.65, 0.79, G
1.16, 1.21, G
1.06, 1.02, G
3.08, 2.04, G
0.71, 0.29, G
0.69, 0.06, G
1.69, 1.36, G
1.33, 0.71, G
1.63, 1.69, G
0.83, 0.28, G
0.65, 0.06, G
0.79, 0.31, G
1.30, 1.26, G
1.12, 1.06, G
2.03, 1.61, G
0.93, 0.20, G
0.63, 0.07, G
0.74, 0.45, G
1.92, 1.93, G
0.89, 0.43, G
0.69, 0.20, G
2.44, 1.46, G
1.10, 0.33, G
0.61, 0.07, G
0.67, 0.06, G
0.92, 0.42, G
1.76, 1.90, G
0.79, 0.31, G
0.66, 0.25, G
2.41, 1.49, G
1.07, 0.30, G
0.59, 0.12, G
0.62, 0.05, H
3.34, 2.86, H
2.39, 1.39, H
2.12, 1.53, H
0.59, 0.21, H
2.40, 1.79, H
0.83, 0.29, H
0.74, 0.06, H
3.50, 2.85, H
1.24, 0.72, H
1.33, 0.71, H
0.94, 0.51, H
2.52, 2.63, H
0.58, 0.09, H
0.70, 0.07, H
3.05, 2.63, H
1.88, 1.21, H
2.03, 1.12, H
1.68, 0.62, H
2.56, 2.49, H
0.57, 0.06, H
0.71, 0.05, H
2.20, 2.03, H
2.44, 1.69, H
2.86, 1.78, H
1.13, 1.06, H
2.31, 2.24, H
0.67, 0.36, H
3.13, 1.73, W
3.35, 1.55, W
3.37, 1.72, W
3.20, 1.85, W
3.67, 1.91, W
3.55, 1.68, W
3.50, 1.64, W
3.04, 1.49, W
3.82, 2.08, W
3.20, 1.69, W
3.93, 1.74, W
3.83, 1.93, W
3.56, 1.79, W
3.65, 1.69, W
3.23, 1.73, W
3.04, 1.55, W
4.00, 2.54, W
4.86, 2.21, W
3.05, 1.91, W
3.79, 2.16, W
3.68, 2.09, W
3.19, 1.89, W
3.12, 1.70, W
3.27, 1.72, W
3.54, 1.83, W
3.21, 2.05, W
4.77, 2.22, W
3.78, 2.35, W
3.85, 2.14, W
3.38, 1.95, W
3.18, 1.87, W
3.48, 2.09, W
3.08, 1.66, W
3.26, 1.57, W
3.17, 1.65, W
4.60, 1.71, W
3.36, 1.79, W
3.64, 2.03, W
3.82, 1.72, W
3.51, 1.85, W
4.13, 1.72, W
3.39, 1.81, W
3.42, 2.01, W
3.30, 1.79, W
5.51, 1.80, W
5.52, 1.70, W
5.34, 1.95, W
4.03, 2.04, W
3.71, 2.22, W
3.73, 1.92, W
3.69, 1.90, W
3.39, 1.74, W
3.53, 1.86, W
3.54, 2.07, W
3.69, 1.97, W
3.94, 2.01, W
3.64, 2.12, W
3.62, 2.24, W
3.62, 2.07, W
3.56, 2.03, W
3.69, 2.18, W
3.57, 2.15, W
3.49, 2.24, W
4.59, 2.21, W
3.78, 2.14, W
4.02, 2.24, W
4.05, 2.05, W
3.45, 1.78, W
2.81, 1.44, W
3.41, 1.82, W
3.10, 1.47, W
3.59, 1.50, W
2.87, 1.59, W
4.96, 1.79, W
4.21, 1.70, W
2.88, 1.48, W
3.11, 1.65, W
3.43, 1.79, W
3.77, 1.97, W
4.66, 2.05, W
4.13, 1.82, W
4.08, 2.24, W
3.98, 2.31, W
3.96, 1.97, W
3.48, 1.77, W
3.89, 1.90, W
3.33, 1.86, W
3.78, 2.01, W
3.73, 2.09, W
3.93, 1.90, W
3.73, 1.92, W
