@relation ModifiedAllData

@attribute Uacc 	numeric
@attribute Ugyro 	numeric
@attribute class 	{D, G, H, W}

@data
0.936131025, 0.931775196, D
0.634458952, 1.176515805, D
1.572929395, 1.044426624, D
1.740697116, 1.127459678, D
0.442904621, 0.099134354, D
0.455007, 0.077502095, D
1.11210407, 1.015189936, D
0.578902013, 1.007459626, D
0.2866522, 0.222377731, D
1.17941726, 1.649624458, D
1.12346184, 0.754695163, D
0.497529742, 0.18097375, D
0.411749739, 0.007084832, D
1.057726009, 0.827419221, D
1.136532657, 0.68036575, D
1.028013026, 1.673379978, D
1.187912739, 1.126665469, D
1.881495721, 1.74496022, D
0.595614684, 0.190442077, D
0.4506118, 0.118736259, D
0.387576442, 0.095991671, D
0.976556854, 1.011488088, D
1.240597412, 1.4005327, D
0.465884705, 0.738732714, D
0.346163998, 0.22511111, D
1.608957759, 1.912261064, D
0.802106658, 0.570105746, D
0.423383935, 0.010383374, D
0.738804191, 0.433181905, D
1.060182562, 0.890207598, D
0.820810022, 1.543911235, D
0.381790758, 0.39956959, D
0.254460282, 0.081257694, D
2.43886321, 2.291719991, D
0.716225016, 0.38301698, D
0.715623877, 0.701096131, D
0.483868763, 0.111778428, D
0.392362297, 0.048121975, D
0.648684925, 0.266031314, D
1.177256557, 1.121228367, D
0.583397791, 0.534031056, D
0.287203654, 0.372756164, D
0.289950958, 0.135371837, D
1.402564124, 1.726731447, D
0.984656488, 0.458300539, D
0.417414802, 0.044859319, D
0.487006405, 0.152487112, D
0.946581992, 1.311535898, D
0.337403079, 0.661743404, D
0.326455042, 0.199765614, D
1.253029839, 1.630348812, D
0.755197909, 0.313810836, D
0.711707446, 0.121065476, D
0.412054373, 0.010091176, D
0.388595435, 0.022041295, D
0.97662162, 0.623730674, D
0.449856368, 1.21282767, D
0.328108153, 0.379270382, D
0.771128732, 0.761708758, D
1.818089527, 1.536021916, D
0.453924029, 0.232543114, D
0.410296879, 0.063323157, D
1.206871272, 0.648725524, D
0.774581047, 1.444449837, D
0.330534188, 0.417614216, D
0.292021202, 0.094115426, D
1.639157746, 1.932232527, D
0.773884712, 0.412282084, D
0.693588783, 0.241487912, D
0.407943352, 0.020994246, D
0.38677699, 0.014344697, D
1.110428453, 1.057026645, D
0.721844682, 1.092683058, D
0.335642522, 0.629104939, D
0.299963861, 0.220089995, D
2.202625207, 2.18041273, D
0.720690303, 0.439718081, D
0.439480807, 0.026383877, D
0.393694436, 0.013536164, D
0.969240643, 0.541095688, D
0.552605647, 1.286464472, D
0.260721367, 0.493682754, D
1.167579274, 0.731934247, D
2.375969779, 1.745344714, D
0.437687922, 0.160102043, D
0.50028961, 0.124668567, D
1.304588287, 1.212097458, D
0.366384746, 0.969658382, D
0.315719075, 0.318531449, D
0.266721874, 0.079350785, D
0.774155259, 1.036824407, D
1.321846607, 1.14857366, D
1.848644482, 1.742852044, D
0.299204655, 0.366671328, D
0.381593113, 0.115437427, D
2.529591742, 2.141265611, D
0.521667815, 0.405755221, D
0.565556245, 0.085341831, G
0.725112507, 0.310814465, G
2.227739665, 1.600707226, G
1.446025534, 1.485695339, G
1.013873989, 0.47595003, G
0.889848839, 0.697593629, G
0.692598854, 0.060138655, G
0.742014283, 0.227765753, G
1.480368141, 0.8555312, G
1.546742825, 2.115574073, G
2.580793806, 1.882396254, G
2.067293242, 0.744118444, G
0.723355815, 0.392713724, G
0.69063244, 0.149032473, G
2.79827363, 2.136325967, G
1.94347583, 1.823269804, G
1.070406973, 0.866137608, G
1.233770534, 0.542655153, G
0.63576083, 0.061816557, G
0.684144872, 0.05521403, G
1.741406581, 0.817835794, G
1.184047865, 1.466047527, G
1.028460534, 0.732210383, G
1.110138519, 0.846818763, G
1.550158123, 1.156361503, G
0.571643712, 0.096727425, G
0.621134287, 0.106107996, G
2.955396893, 2.065613754, G
1.152563303, 0.917666001, G
1.171326639, 1.039838749, G
1.448763408, 0.902143059, G
1.051023583, 0.301888395, G
0.672802973, 0.094005811, G
0.658018856, 0.068980823, G
1.650062316, 0.791268302, G
1.160609661, 1.213330741, G
1.057968657, 1.017774813, G
3.081159916, 2.039461386, G
0.710418428, 0.286963197, G
0.689525638, 0.06300332, G
1.686718161, 1.360969067, G
1.329560136, 0.705894583, G
1.6346516, 1.68830013, G
0.833915342, 0.280675893, G
0.645134024, 0.058377968, G
0.788581521, 0.307063347, G
1.295995266, 1.261954499, G
1.121632566, 1.061291476, G
2.033405162, 1.613227434, G
0.934757284, 0.197131625, G
0.630265997, 0.065020732, G
0.740700193, 0.45478396, G
1.917498451, 1.932661469, G
0.8868444, 0.426096749, G
0.694036731, 0.195306839, G
2.43980128, 1.463068234, G
1.101059524, 0.333867529, G
0.605548187, 0.067088788, G
0.673125246, 0.055896859, G
0.91939224, 0.42003821, G
1.764426091, 1.89939604, G
0.786321903, 0.306695729, G
0.65650851, 0.251744618, G
2.405993469, 1.49283579, G
1.07109505, 0.299283241, G
0.594666691, 0.116294217, G
0.61954172, 0.049246837, H
3.338885823, 2.860838597, H
2.393170725, 1.393270946, H
2.117504558, 1.531630233, H
0.588167708, 0.211633292, H
2.396947965, 1.789625397, H
0.826563411, 0.285734029, H
0.743745652, 0.064252208, H
3.499026372, 2.849457779, H
1.235365031, 0.717527966, H
1.331873025, 0.713661816, H
0.941947851, 0.505030963, H
2.524319555, 2.625152398, H
0.581319543, 0.086197691, H
0.698078661, 0.068523063, H
3.051951326, 2.632569776, H
1.884657412, 1.21390858, H
2.030617202, 1.121470091, H
1.684472716, 0.620982404, H
2.555872176, 2.494787259, H
0.565122704, 0.056883237, H
0.713783112, 0.052399665, H
2.197881928, 2.025558533, H
2.440970726, 1.689670384, H
2.856278216, 1.77715855, H
1.131719787, 1.064351399, H
2.312772889, 2.243255073, H
0.670903885, 0.358182058, H
3.125516705, 1.734133929, W
3.347888914, 1.553595988, W
3.366483953, 1.717751024, W
3.203402222, 1.849995608, W
3.670236593, 1.907316524, W
3.545174863, 1.676319506, W
3.50062564, 1.639175676, W
3.044231104, 1.494313463, W
3.816988981, 2.083131117, W
3.196019141, 1.694500349, W
3.927499135, 1.737821839, W
3.828134362, 1.932808064, W
3.564498736, 1.789105653, W
3.652382636, 1.688762905, W
3.230597297, 1.733853385, W
3.038784287, 1.551371942, W
4.000536539, 2.541513081, W
4.855217528, 2.210256532, W
3.05481887, 1.91108335, W
3.787837617, 2.159502307, W
3.679028133, 2.090509689, W
3.189860327, 1.892667592, W
3.116702179, 1.704254777, W
3.272469995, 1.718009479, W
3.542722349, 1.82682771, W
3.207862129, 2.051747735, W
4.774487032, 2.224750965, W
3.782103473, 2.349430053, W
3.852306599, 2.135955038, W
3.376820415, 1.95161031, W
3.179244571, 1.868011191, W
3.480041738, 2.094790607, W
3.083025747, 1.658136166, W
3.256156879, 1.571432606, W
3.165682602, 1.649787219, W
4.602845007, 1.713988576, W
3.360078728, 1.791522204, W
3.643446493, 2.034678618, W
3.818987513, 1.720382403, W
3.508584185, 1.85391707, W
4.127032729, 1.722722405, W
3.38662851, 1.807651168, W
3.423004371, 2.006689522, W
3.302442965, 1.793288411, W
5.513964376, 1.795246831, W
5.523133556, 1.701138474, W
5.339525973, 1.947786107, W
4.026392417, 2.03645125, W
3.710624328, 2.220222278, W
3.729019647, 1.924646284, W
3.688551273, 1.903311752, W
3.388290074, 1.743379707, W
3.534743425, 1.86477805, W
3.536348688, 2.065808623, W
3.688197687, 1.967121862, W
3.944015855, 2.010467693, W
3.63606969, 2.121602722, W
3.617444666, 2.240142897, W
3.619250907, 2.073305931, W
3.564030662, 2.032443865, W
3.694453043, 2.175289838, W
3.567161862, 2.153646162, W
3.485069783, 2.243238614, W
4.588874934, 2.21104103, W
3.779445654, 2.141107294, W
4.023067496, 2.241263499, W
4.046007712, 2.054998155, W
3.450027841, 1.775732562, W
2.806911198, 1.441741213, W
3.407012994, 1.818671861, W
3.097637185, 1.47090578, W
3.585054322, 1.499381071, W
2.870164907, 1.591665882, W
4.955166629, 1.787058173, W
4.205164792, 1.698063653, W
2.879506182, 1.477229897, W
3.110099652, 1.648611526, W
3.426487798, 1.785066673, W
3.769832882, 1.970371646, W
4.663396605, 2.051255949, W
4.13079217, 1.824350295, W
4.078220863, 2.243430804, W
3.981455648, 2.313255992, W
3.964758509, 1.970582047, W
3.478247145, 1.765126662, W
3.888043278, 1.899521352, W
3.326080512, 1.85804307, W
3.779967265, 2.012595845, W
3.733090792, 2.089611502, W
3.927846973, 1.903400119, W
3.731675422, 1.916246559, W
